user_id,dive_site_id,region,cluster,rating,user_id_db,name,email,id
304,4079,Libya,5,3,f8f0a8f5-599a-4874-bef5-a0d33b1f6467,Veronica Thompson,crystalrogers@example.com,6
304,1348,Denmark,5,4,f8f0a8f5-599a-4874-bef5-a0d33b1f6467,Veronica Thompson,crystalrogers@example.com,7
143,1773,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,8
143,3757,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,9
143,1686,Turkey,0,3,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,10
143,1670,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,11
143,3544,Turkey,0,5,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,12
143,1685,Turkey,0,5,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,13
143,3503,Turkey,0,3,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,14
143,1683,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,15
143,3545,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,16
143,3879,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,17
143,1676,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,18
143,1671,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,19
143,1661,Turkey,0,3,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,20
143,3870,Turkey,0,5,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,21
143,1774,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,22
143,1983,Turkey,0,4,975185b7-0919-4726-b132-c83e95010e53,Melissa Hoover,harriselizabeth@example.com,23
